num_node,node_min_capacity,capacity_multiplier,capacity_skew,num_copy,strategy,supply,num_stored,num_evict,num_loss
12000,1024,128,1,3,Vanilla,139308976,100000,0,0
12000,1024,128,1,3,Vanilla,139308976,200000,0,0
12000,1024,128,1,3,Vanilla,139308976,300000,0,0
12000,1024,128,1,3,Vanilla,139308976,400000,0,0
12000,1024,128,1,3,Vanilla,139308976,500000,0,0
12000,1024,128,1,3,Vanilla,139308976,600000,0,0
12000,1024,128,1,3,Vanilla,139308976,700000,0,0
12000,1024,128,1,3,Vanilla,139308976,800000,0,0
12000,1024,128,1,3,Vanilla,139308976,900000,0,0
12000,1024,128,1,3,Vanilla,139308976,1000000,0,0
12000,1024,128,1,3,Vanilla,139308976,1100000,0,0
12000,1024,128,1,3,Vanilla,139308976,1200000,0,0
12000,1024,128,1,3,Vanilla,139308976,1300000,123,0
12000,1024,128,1,3,Vanilla,139308976,1400000,584,0
12000,1024,128,1,3,Vanilla,139308976,1500000,1700,0
12000,1024,128,1,3,Vanilla,139308976,1600000,3335,2
12000,1024,128,1,3,Vanilla,139308976,1700000,5445,5
12000,1024,128,1,3,Vanilla,139308976,1800000,7983,16
12000,1024,128,1,3,Vanilla,139308976,1900000,10795,30
12000,1024,128,1,3,Vanilla,139308976,2000000,14032,51
12000,1024,128,1,3,Vanilla,139308976,2100000,19979,94
12000,1024,128,1,3,Vanilla,139308976,2200000,34144,150
12000,1024,128,1,3,Vanilla,139308976,2300000,54139,228
12000,1024,128,1,3,Vanilla,139308976,2400000,77556,348
12000,1024,128,1,3,Vanilla,139308976,2500000,104366,490
12000,1024,128,1,3,Vanilla,139308976,2600000,134435,715
12000,1024,128,1,3,Vanilla,139308976,2700000,166543,1026
12000,1024,128,1,3,Vanilla,139308976,2800000,201944,1381
12000,1024,128,1,3,Vanilla,139308976,2900000,243256,1816
12000,1024,128,1,3,Vanilla,139308976,3000000,290063,2392
12000,1024,128,1,3,Vanilla,139308976,3100000,339954,3112
12000,1024,128,1,3,Vanilla,139308976,3200000,392335,3923
12000,1024,128,1,3,Vanilla,139308976,3300000,447530,4925
12000,1024,128,1,3,Vanilla,139308976,3400000,506440,6036
12000,1024,128,1,3,Vanilla,139308976,3500000,568773,7440
12000,1024,128,1,3,Vanilla,139308976,3600000,633962,8884
12000,1024,128,1,3,Vanilla,139308976,3700000,700618,10546
12000,1024,128,1,3,Vanilla,139308976,3800000,768972,12326
12000,1024,128,1,3,Vanilla,139308976,3900000,838978,14410
12000,1024,128,1,3,Vanilla,139308976,4000000,910293,16635
12000,1024,128,1,3,Vanilla,139308976,4100000,985675,19006
