num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.8,3,Vanilla,0,11959,3376084,12338157,3375356,1
12000,1024,102400,1.8,3,Vanilla,1,19,5344,45686,5344,0.2047464
12000,1024,102400,1.8,3,Vanilla,2,13,3932,72268,3932,0.091098025
12000,1024,102400,1.8,3,Vanilla,3,5,1423,52171,1423,0.03772264
12000,1024,102400,1.8,3,Vanilla,4,2,545,39329,545,0.015739424
12000,1024,102400,1.8,3,Vanilla,5,2,797,110102,797,0.008270201
12000,1024,102400,1.8,3,Vanilla,0,11974,3300185,12345299,3299433,1
12000,1024,102400,1.8,3,Vanilla,1,14,4666,40901,4666,0.40172344
12000,1024,102400,1.8,3,Vanilla,2,9,2680,53450,2680,0.090247996
12000,1024,102400,1.8,3,Vanilla,3,1,352,11121,352,0.03165183
12000,1024,102400,1.8,3,Vanilla,5,1,187,39132,187,0.0047786976
12000,1024,102400,1.8,3,Vanilla,6,1,198,92605,198,0.0021381136
12000,1024,102400,1.8,3,Vanilla,0,11971,4223119,12351850,4221150,1
12000,1024,102400,1.8,3,Vanilla,1,17,5853,43391,5853,0.30327868
12000,1024,102400,1.8,3,Vanilla,2,8,2390,39342,2390,0.11739025
12000,1024,102400,1.8,3,Vanilla,3,3,901,42051,901,0.030735351
12000,1024,102400,1.8,3,Vanilla,4,1,341,21231,341,0.01606142
12000,1024,102400,1.8,3,Vanilla,0,11969,3440984,12337530,3439635,1
12000,1024,102400,1.8,3,Vanilla,1,23,6827,61399,6827,0.26245388
12000,1024,102400,1.8,3,Vanilla,2,5,1384,26068,1384,0.07001214
12000,1024,102400,1.8,3,Vanilla,3,2,805,22725,805,0.044735957
12000,1024,102400,1.8,3,Vanilla,5,1,168,58802,168,0.0028570457
12000,1024,102400,1.8,3,Vanilla,0,11964,3284567,12336970,3284064,1
12000,1024,102400,1.8,3,Vanilla,1,21,5603,57990,5603,0.32876176
12000,1024,102400,1.8,3,Vanilla,2,6,1854,35508,1854,0.11491496
12000,1024,102400,1.8,3,Vanilla,3,6,1831,63409,1831,0.05350734
12000,1024,102400,1.8,3,Vanilla,4,1,530,25375,530,0.020886699
12000,1024,102400,1.8,3,Vanilla,5,1,262,34074,262,0.0076891473
12000,1024,102400,1.8,3,Vanilla,6,1,541,100558,541,0.0053799795
12000,1024,102400,1.8,3,Vanilla,0,11969,3433661,12344566,3433139,1
12000,1024,102400,1.8,3,Vanilla,1,19,5634,50302,5634,0.22471452
12000,1024,102400,1.8,3,Vanilla,2,6,1651,31534,1651,0.069064066
12000,1024,102400,1.8,3,Vanilla,3,3,704,32708,704,0.032798573
12000,1024,102400,1.8,3,Vanilla,4,1,291,24360,291,0.011945813
12000,1024,102400,1.8,3,Vanilla,5,2,781,83660,781,0.014087708
12000,1024,102400,1.8,3,Vanilla,0,11980,3312640,12354495,3311378,1
12000,1024,102400,1.8,3,Vanilla,1,15,4238,38961,4238,0.32079905
12000,1024,102400,1.8,3,Vanilla,2,3,663,16254,663,0.051068615
12000,1024,102400,1.8,3,Vanilla,3,2,594,26870,594,0.028986868
12000,1024,102400,1.8,3,Vanilla,0,11976,3322714,12352003,3322106,1
12000,1024,102400,1.8,3,Vanilla,1,17,4429,45783,4429,0.19560239
12000,1024,102400,1.8,3,Vanilla,2,3,591,19055,591,0.07134716
12000,1024,102400,1.8,3,Vanilla,3,2,502,20522,502,0.030433226
12000,1024,102400,1.8,3,Vanilla,5,1,261,54025,261,0.0048310966
12000,1024,102400,1.8,3,Vanilla,6,1,231,84961,231,0.0027188945
12000,1024,102400,1.8,3,Vanilla,0,11972,3386075,12343402,3385519,1
12000,1024,102400,1.8,3,Vanilla,1,13,3795,35223,3795,0.23583718
12000,1024,102400,1.8,3,Vanilla,2,11,2479,58404,2479,0.11092676
12000,1024,102400,1.8,3,Vanilla,3,2,619,23904,619,0.037429612
12000,1024,102400,1.8,3,Vanilla,4,2,821,47501,821,0.018455325
12000,1024,102400,1.8,3,Vanilla,0,11980,3402301,12360675,3401279,1
12000,1024,102400,1.8,3,Vanilla,1,9,2582,23636,2582,0.23130435
12000,1024,102400,1.8,3,Vanilla,2,7,2659,34676,2659,0.10562151
12000,1024,102400,1.8,3,Vanilla,3,3,864,32804,864,0.030807566
12000,1024,102400,1.8,3,Vanilla,4,1,299,21984,299,0.0136008
12000,1024,102400,1.8,3,Vanilla,0,11976,3385651,12357623,3385094,1
12000,1024,102400,1.8,3,Vanilla,1,14,3927,38221,3927,0.23918575
12000,1024,102400,1.8,3,Vanilla,2,3,959,22165,959,0.064323775
12000,1024,102400,1.8,3,Vanilla,3,6,2020,60709,2020,0.058885496
