num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1.9,3,Classified+TwoChoices,12431906,3888294,12000,11657923,2.9982102
12000,1024,102400,1.9,3,Classified+TwoChoices,12409646,3917285,12000,11710072,2.9893336
12000,1024,102400,1.9,3,Classified+TwoChoices,12400583,3904580,12000,11677405,2.9906943
12000,1024,102400,1.9,3,Classified+TwoChoices,12431775,3938545,12000,11771941,2.9889061
12000,1024,102400,1.9,3,Classified+TwoChoices,12460830,3922976,12000,11720406,2.9876313
12000,1024,102400,1.9,3,Classified+TwoChoices,12407673,3903696,12000,11695990,2.9961324
12000,1024,102400,1.9,3,Classified+TwoChoices,12421664,3924223,12000,11709836,2.9839885
12000,1024,102400,1.9,3,Classified+TwoChoices,12409446,3895224,12000,11656350,2.9924724
12000,1024,102400,1.9,3,Classified+TwoChoices,12415312,3911113,12000,11703618,2.992401
12000,1024,102400,1.9,3,Classified+TwoChoices,12380589,3917719,12000,11690175,2.983924
12000,1024,102400,1.9,3,Classified+TwoChoices,12387050,3924806,12000,11703640,2.9819665
12000,1024,102400,1.9,3,Classified+TwoChoices,12411048,3904747,12000,11685780,2.992711
12000,1024,102400,1.9,3,Classified+TwoChoices,12387359,3899253,12000,11667758,2.992306
12000,1024,102400,1.9,3,Classified+TwoChoices,12483751,3906691,12000,11713234,2.9982495
12000,1024,102400,1.9,3,Classified+TwoChoices,12462800,3920187,12000,11733827,2.9931805
12000,1024,102400,1.9,3,Classified+TwoChoices,12447854,3951558,12000,11781526,2.9814887
12000,1024,102400,1.9,3,Classified+TwoChoices,12413407,3919739,12000,11715222,2.988776
12000,1024,102400,1.9,3,Classified+TwoChoices,12447659,3935737,12000,11732868,2.9811108
12000,1024,102400,1.9,3,Classified+TwoChoices,12376478,3901897,12000,11652836,2.986454
12000,1024,102400,1.9,3,Classified+TwoChoices,12428613,3891665,12000,11660629,2.9963086
12000,1024,102400,1.9,3,Classified+TwoChoices,12450338,3920835,12000,11741327,2.9945986
12000,1024,102400,1.9,3,Classified+TwoChoices,12380237,3908815,12000,11668761,2.9852426
12000,1024,102400,1.9,3,Classified+TwoChoices,12474670,3946197,12000,11795255,2.9890182
12000,1024,102400,1.9,3,Classified+TwoChoices,12395919,3915629,12000,11718502,2.992751
12000,1024,102400,1.9,3,Classified+TwoChoices,12406095,3908166,12000,11709575,2.9961815
12000,1024,102400,1.9,3,Classified+TwoChoices,12373535,3892395,12000,11641482,2.9908276
12000,1024,102400,1.9,3,Classified+TwoChoices,12392549,3910794,12000,11687741,2.9885852
12000,1024,102400,1.9,3,Classified+TwoChoices,12431968,3920335,12000,11726275,2.991141
12000,1024,102400,1.9,3,Classified+TwoChoices,12385673,3919854,12000,11721251,2.9902265
12000,1024,102400,1.9,3,Classified+TwoChoices,12382209,3916610,12000,11696953,2.9864993
12000,1024,102400,1.9,3,Classified+TwoChoices,12367070,3905198,12000,11673081,2.9891138
12000,1024,102400,1.9,3,Classified+TwoChoices,12429657,3911862,12000,11710967,2.9937065
12000,1024,102400,1.9,3,Classified+TwoChoices,12400953,3905134,12000,11679721,2.990863
12000,1024,102400,1.9,3,Classified+TwoChoices,12376284,3906528,12000,11688149,2.9919531
12000,1024,102400,1.9,3,Classified+TwoChoices,12386665,3901098,12000,11664685,2.990103
12000,1024,102400,1.9,3,Classified+TwoChoices,12429245,3926225,12000,11730509,2.9877322
12000,1024,102400,1.9,3,Classified+TwoChoices,12422872,3939240,12000,11765671,2.986787
12000,1024,102400,1.9,3,Classified+TwoChoices,12510878,3931210,12000,11766631,2.993132
12000,1024,102400,1.9,3,Classified+TwoChoices,12531796,3966017,12000,11831218,2.9831486
12000,1024,102400,1.9,3,Classified+TwoChoices,12363533,3918703,12000,11704171,2.986746
12000,1024,102400,1.9,3,Classified+TwoChoices,12502425,3927796,12000,11755173,2.9928167
12000,1024,102400,1.9,3,Classified+TwoChoices,12451358,3916360,12000,11708438,2.9896226
12000,1024,102400,1.9,3,Classified+TwoChoices,12445401,3963065,12000,11807223,2.979316
12000,1024,102400,1.9,3,Classified+TwoChoices,12589817,3951259,12000,11815442,2.990298
12000,1024,102400,1.9,3,Classified+TwoChoices,12517425,3954378,12000,11811573,2.9869611
12000,1024,102400,1.9,3,Classified+TwoChoices,12471438,3925785,12000,11745659,2.9919262
12000,1024,102400,1.9,3,Classified+TwoChoices,12422969,3927115,12000,11733101,2.9877152
12000,1024,102400,1.9,3,Classified+TwoChoices,12421359,3927289,12000,11733292,2.9876313
12000,1024,102400,1.9,3,Classified+TwoChoices,12499949,3976417,12000,11840428,2.9776626
12000,1024,102400,1.9,3,Classified+TwoChoices,12418427,3910217,12000,11700568,2.9923065
12000,1024,102400,1.9,3,Classified+TwoChoices,12415353,3932755,12000,11738610,2.9848313
12000,1024,102400,1.9,3,Classified+TwoChoices,12425200,3931782,12000,11736551,2.9850461
12000,1024,102400,1.9,3,Classified+TwoChoices,12379676,3913829,12000,11716299,2.9935644
12000,1024,102400,1.9,3,Classified+TwoChoices,12396820,3913953,12000,11705790,2.9907844
12000,1024,102400,1.9,3,Classified+TwoChoices,12392264,3935216,12000,11743260,2.984146
12000,1024,102400,1.9,3,Classified+TwoChoices,12409279,3923094,12000,11728975,2.9897258
12000,1024,102400,1.9,3,Classified+TwoChoices,12439143,3934430,12000,11737299,2.9832273
12000,1024,102400,1.9,3,Classified+TwoChoices,12418143,3936217,12000,11738803,2.982255
12000,1024,102400,1.9,3,Classified+TwoChoices,12504109,3932144,12000,11762918,2.991477
12000,1024,102400,1.9,3,Classified+TwoChoices,12397766,3905809,12000,11690897,2.9932075
12000,1024,102400,1.9,3,Classified+TwoChoices,12391441,3917510,12000,11679428,2.9813397
12000,1024,102400,1.9,3,Classified+TwoChoices,12459044,3932532,12000,11757041,2.9896872
12000,1024,102400,1.9,3,Classified+TwoChoices,12388741,3897831,12000,11670479,2.9940958
12000,1024,102400,1.9,3,Classified+TwoChoices,12556803,3971548,12000,11862640,2.9869058
12000,1024,102400,1.9,3,Classified+TwoChoices,12448254,3924848,12000,11744145,2.9922547
12000,1024,102400,1.9,3,Classified+TwoChoices,12408368,3915347,12000,11718319,2.9929197
12000,1024,102400,1.9,3,Classified+TwoChoices,12453841,3919872,12000,11730227,2.9925025
12000,1024,102400,1.9,3,Classified+TwoChoices,12433334,3906023,12000,11696206,2.9944026
12000,1024,102400,1.9,3,Classified+TwoChoices,12380585,3867091,12000,11599162,2.999454
12000,1024,102400,1.9,3,Classified+TwoChoices,12480423,3922973,12000,11732402,2.9906914
12000,1024,102400,1.9,3,Classified+TwoChoices,12547139,3927422,12000,11737638,2.9886367
12000,1024,102400,1.9,3,Classified+TwoChoices,12434116,3932155,12000,11718903,2.980275
12000,1024,102400,1.9,3,Classified+TwoChoices,12389687,3906504,12000,11673617,2.9882517
12000,1024,102400,1.9,3,Classified+TwoChoices,12387032,3913644,12000,11705733,2.9910061
12000,1024,102400,1.9,3,Classified+TwoChoices,12438052,3937208,12000,11760416,2.9869938
12000,1024,102400,1.9,3,Classified+TwoChoices,12420872,3910417,12000,11690445,2.989565
12000,1024,102400,1.9,3,Classified+TwoChoices,12474956,3945269,12000,11771060,2.9835887
12000,1024,102400,1.9,3,Classified+TwoChoices,12438847,3920017,12000,11723334,2.9906335
12000,1024,102400,1.9,3,Classified+TwoChoices,12455902,3924498,12000,11723242,2.9871953
12000,1024,102400,1.9,3,Classified+TwoChoices,12370273,3908979,12000,11686923,2.9897635
12000,1024,102400,1.9,3,Classified+TwoChoices,12520671,3959595,12000,11818126,2.9846804
12000,1024,102400,1.9,3,Classified+TwoChoices,12386889,3891381,12000,11653352,2.9946573
12000,1024,102400,1.9,3,Classified+TwoChoices,12462760,3931750,12000,11744606,2.9871192
12000,1024,102400,1.9,3,Classified+TwoChoices,12397830,3917577,12000,11687247,2.9832845
12000,1024,102400,1.9,3,Classified+TwoChoices,12390287,3929666,12000,11732064,2.9855118
12000,1024,102400,1.9,3,Classified+TwoChoices,12377694,3911504,12000,11694304,2.9897206
12000,1024,102400,1.9,3,Classified+TwoChoices,12461616,3951171,12000,11792621,2.9845889
12000,1024,102400,1.9,3,Classified+TwoChoices,12408199,3899700,12000,11672802,2.9932563
12000,1024,102400,1.9,3,Classified+TwoChoices,12430190,3927067,12000,11746252,2.9911005
12000,1024,102400,1.9,3,Classified+TwoChoices,12421728,3914834,12000,11685625,2.9849606
12000,1024,102400,1.9,3,Classified+TwoChoices,12441536,3920747,12000,11729990,2.9917743
12000,1024,102400,1.9,3,Classified+TwoChoices,12523156,3956124,12000,11810607,2.9853985
12000,1024,102400,1.9,3,Classified+TwoChoices,12426421,3948405,12000,11783407,2.9843462
12000,1024,102400,1.9,3,Classified+TwoChoices,12381517,3905055,12000,11682078,2.991527
12000,1024,102400,1.9,3,Classified+TwoChoices,12393072,3909428,12000,11695788,2.9916878
12000,1024,102400,1.9,3,Classified+TwoChoices,12397244,3941351,12000,11742497,2.9793077
12000,1024,102400,1.9,3,Classified+TwoChoices,12477014,3923655,12000,11742009,2.9926202
12000,1024,102400,1.9,3,Classified+TwoChoices,12414216,3916103,12000,11717277,2.9920757
12000,1024,102400,1.9,3,Classified+TwoChoices,12538094,3948366,12000,11837201,2.998
12000,1024,102400,1.9,3,Classified+TwoChoices,12362715,3919380,12000,11704615,2.9863436
